Column Labels,,,,,,,,,,,,,,,,,,,
ATTEMPT FORCIBLE ENTRY,,CRIMINAL DEFACEMENT,,FORCIBLE ENTRY,,HOME INVASION,,TO CITY OF CHICAGO PROPERTY,,TO PROPERTY,,TO STATE SUP PROP,,TO VEHICLE,,UNLAWFUL ENTRY,,Total Count of CRIMINAL DAMAGE,Total Count of TO PROPERTY
Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,Count of CRIMINAL DAMAGE,Count of TO PROPERTY,,
9,9,6,6,80,80,3,3,6,6,152,152,2,2,113,113,38,38,409,409
