geo_id,tract_name,hs_grad_or_higher,bachelors_or_higher,bachelors_degree,graduate_degree,year
1400000US17031051300,"Census Tract 513, Cook County, Illinois",2024,1691,942,749,2018
1400000US17031051400,"Census Tract 514, Cook County, Illinois",1233,947,611,336,2018
1400000US17031060100,"Census Tract 601, Cook County, Illinois",1930,1545,838,707,2018
1400000US17031060200,"Census Tract 602, Cook County, Illinois",1627,1283,799,484,2018
1400000US17031060300,"Census Tract 603, Cook County, Illinois",2325,1880,1162,718,2018
1400000US17031060400,"Census Tract 604, Cook County, Illinois",2417,2102,1286,816,2018
1400000US17031060500,"Census Tract 605, Cook County, Illinois",831,504,277,227,2018
1400000US17031060800,"Census Tract 608, Cook County, Illinois",4226,3440,2060,1380,2018
1400000US17031060900,"Census Tract 609, Cook County, Illinois",5352,3880,2290,1590,2018
1400000US17031061000,"Census Tract 610, Cook County, Illinois",1536,1331,832,499,2018
1400000US17031061100,"Census Tract 611, Cook County, Illinois",867,763,474,289,2018
1400000US17031061200,"Census Tract 612, Cook County, Illinois",1296,1137,732,405,2018
1400000US17031061500,"Census Tract 615, Cook County, Illinois",1354,1107,703,404,2018
1400000US17031061800,"Census Tract 618, Cook County, Illinois",860,676,440,236,2018
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",2925,2508,1337,1171,2018
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",3864,2833,1642,1191,2018
1400000US17031062000,"Census Tract 620, Cook County, Illinois",2333,2001,1361,640,2018
1400000US17031062100,"Census Tract 621, Cook County, Illinois",2657,2194,1464,730,2018
1400000US17031062200,"Census Tract 622, Cook County, Illinois",1968,1731,1088,643,2018
1400000US17031062300,"Census Tract 623, Cook County, Illinois",1098,1014,545,469,2018
1400000US17031062400,"Census Tract 624, Cook County, Illinois",1192,1037,563,474,2018
1400000US17031062500,"Census Tract 625, Cook County, Illinois",1152,1015,552,463,2018
1400000US17031062600,"Census Tract 626, Cook County, Illinois",1623,1466,800,666,2018
1400000US17031062700,"Census Tract 627, Cook County, Illinois",1902,1605,890,715,2018
1400000US17031062800,"Census Tract 628, Cook County, Illinois",2560,2242,1367,875,2018
1400000US17031062900,"Census Tract 629, Cook County, Illinois",2760,2371,1470,901,2018
1400000US17031063000,"Census Tract 630, Cook County, Illinois",2574,2236,1295,941,2018
1400000US17031063100,"Census Tract 631, Cook County, Illinois",1671,1403,772,631,2018
1400000US17031063200,"Census Tract 632, Cook County, Illinois",5465,4420,2281,2139,2018
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",2215,1701,1022,679,2018
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",3161,2760,1547,1213,2018
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1140,844,455,389,2018
1400000US17031063400,"Census Tract 634, Cook County, Illinois",1761,1539,974,565,2018
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",3004,2539,1338,1201,2018
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",2308,1913,1144,769,2018
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1078,892,544,348,2018
1400000US17031070200,"Census Tract 702, Cook County, Illinois",3254,2700,1370,1330,2018
1400000US17031070300,"Census Tract 703, Cook County, Illinois",2562,2368,1499,869,2018
1400000US17031070400,"Census Tract 704, Cook County, Illinois",2286,1847,979,868,2018
1400000US17031070500,"Census Tract 705, Cook County, Illinois",2392,1894,1011,883,2018
1400000US17031070600,"Census Tract 706, Cook County, Illinois",2049,1911,1005,906,2018
1400000US17031070700,"Census Tract 707, Cook County, Illinois",2835,2272,1380,892,2018
1400000US17031071000,"Census Tract 710, Cook County, Illinois",1826,1665,1125,540,2018
1400000US17031071100,"Census Tract 711, Cook County, Illinois",1824,1695,1172,523,2018
1400000US17031071200,"Census Tract 712, Cook County, Illinois",1449,1177,749,428,2018
1400000US17031071300,"Census Tract 713, Cook County, Illinois",2654,2512,1239,1273,2018
1400000US17031071400,"Census Tract 714, Cook County, Illinois",3694,3089,1595,1494,2018
1400000US17031071500,"Census Tract 715, Cook County, Illinois",5102,4586,2618,1968,2018
1400000US17031071600,"Census Tract 716, Cook County, Illinois",1276,1024,476,548,2018
1400000US17031071700,"Census Tract 717, Cook County, Illinois",1241,1000,564,436,2018
1400000US17031071800,"Census Tract 718, Cook County, Illinois",1950,1664,957,707,2018
1400000US17031080100,"Census Tract 801, Cook County, Illinois",5750,4907,2563,2344,2018
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",2939,2351,1289,1062,2018
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",2804,2524,1254,1270,2018
1400000US17031080300,"Census Tract 803, Cook County, Illinois",3866,3537,1839,1698,2018
1400000US17031080400,"Census Tract 804, Cook County, Illinois",2213,1225,825,400,2018
1400000US17031081000,"Census Tract 810, Cook County, Illinois",5193,3553,2031,1522,2018
1400000US17031081100,"Census Tract 811, Cook County, Illinois",3319,2496,1490,1006,2018
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",3677,3089,1695,1394,2018
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",2652,2095,1037,1058,2018
1400000US17031081300,"Census Tract 813, Cook County, Illinois",4747,3892,1582,2310,2018
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",1969,1478,642,836,2018
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",4460,3856,1654,2202,2018
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",6773,5921,2651,3270,2018
1400000US17031081500,"Census Tract 815, Cook County, Illinois",4115,3634,1593,2041,2018
1400000US17031081600,"Census Tract 816, Cook County, Illinois",3363,2888,1431,1457,2018
1400000US17031081700,"Census Tract 817, Cook County, Illinois",3280,2947,1532,1415,2018
1400000US17031081800,"Census Tract 818, Cook County, Illinois",8544,7574,4548,3026,2018
1400000US17031081900,"Census Tract 819, Cook County, Illinois",693,453,271,182,2018
1400000US17031090100,"Census Tract 901, Cook County, Illinois",2415,1164,828,336,2018
1400000US17031090200,"Census Tract 902, Cook County, Illinois",4806,2578,1331,1247,2018
1400000US17031090300,"Census Tract 903, Cook County, Illinois",938,508,335,173,2018
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",3780,1520,1091,429,2018
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",4908,1837,1166,671,2018
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",4643,2110,1269,841,2018
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",2180,1031,677,354,2018
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",3701,1634,1065,569,2018
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",3230,1304,973,331,2018
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",3437,1458,932,526,2018
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",3437,1496,963,533,2018
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",2156,732,375,357,2018
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",3730,1276,944,332,2018
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",3099,1377,811,566,2018
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",3491,1585,1066,519,2018
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",2479,1012,777,235,2018
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",2889,1826,1045,781,2018
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",3103,1915,950,965,2018
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",4451,3013,1681,1332,2018
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",2294,1015,633,382,2018
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",3312,1801,1157,644,2018
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",1079,658,394,264,2018
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",2885,1440,992,448,2018
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",1354,667,441,226,2018
