geo_id,tract_name,households_total,median_household_income,mean_household_income,households_50k_74k,households_75k_99k,households_100k_149k,households_150k_199k,households_200k_plus,year
1400000US17031610300,"Census Tract 6103, Cook County, Illinois",1712,32679.0,43948.0,23.6,5.8,5.5,0.0,1.2,2019
1400000US17031610400,"Census Tract 6104, Cook County, Illinois",594,40758.0,42829.0,10.8,7.2,2.2,2.2,0.0,2019
1400000US17031610800,"Census Tract 6108, Cook County, Illinois",572,53125.0,73993.0,11.7,14.5,10.0,9.8,4.4,2019
1400000US17031611000,"Census Tract 6110, Cook County, Illinois",269,19975.0,32062.0,10.4,4.8,0.0,0.0,2.2,2019
1400000US17031611100,"Census Tract 6111, Cook County, Illinois",779,28264.0,41674.0,16.7,7.1,1.0,0.0,1.8,2019
1400000US17031611200,"Census Tract 6112, Cook County, Illinois",778,27800.0,31711.0,17.1,2.3,0.8,0.0,0.0,2019
1400000US17031611300,"Census Tract 6113, Cook County, Illinois",898,26600.0,38142.0,12.0,8.6,1.0,2.2,0.0,2019
1400000US17031611400,"Census Tract 6114, Cook County, Illinois",905,36382.0,42430.0,13.9,6.9,7.8,0.0,0.0,2019
1400000US17031611500,"Census Tract 6115, Cook County, Illinois",964,34875.0,45774.0,10.7,5.1,6.6,0.0,0.6,2019
1400000US17031611600,"Census Tract 6116, Cook County, Illinois",552,25882.0,35090.0,13.8,10.0,0.4,0.0,0.0,2019
1400000US17031611700,"Census Tract 6117, Cook County, Illinois",598,24444.0,40205.0,12.2,0.0,5.5,1.0,3.0,2019
1400000US17031611800,"Census Tract 6118, Cook County, Illinois",670,40870.0,54716.0,12.2,14.5,2.1,3.1,4.8,2019
1400000US17031611900,"Census Tract 6119, Cook County, Illinois",574,24507.0,34521.0,6.4,7.0,3.1,1.0,0.0,2019
1400000US17031612000,"Census Tract 6120, Cook County, Illinois",447,37981.0,48170.0,30.0,0.0,13.4,0.0,2.2,2019
1400000US17031612100,"Census Tract 6121, Cook County, Illinois",351,26815.0,41397.0,12.3,3.7,11.4,0.0,0.0,2019
1400000US17031620100,"Census Tract 6201, Cook County, Illinois",1210,65354.0,74186.0,27.5,15.7,12.5,8.8,1.0,2019
1400000US17031620200,"Census Tract 6202, Cook County, Illinois",698,58382.0,78010.0,18.2,12.3,19.9,4.7,1.1,2019
1400000US17031620300,"Census Tract 6203, Cook County, Illinois",2030,55779.0,74252.0,23.7,8.8,17.3,3.6,3.5,2019
1400000US17031620400,"Census Tract 6204, Cook County, Illinois",1239,69764.0,76891.0,20.1,15.7,22.8,2.7,0.9,2019
1400000US17031630100,"Census Tract 6301, Cook County, Illinois",296,30435.0,44237.0,13.5,10.8,3.4,1.7,1.7,2019
1400000US17031630200,"Census Tract 6302, Cook County, Illinois",575,37422.0,50395.0,18.6,11.7,5.9,0.7,0.9,2019
1400000US17031630300,"Census Tract 6303, Cook County, Illinois",1316,51184.0,61130.0,33.0,3.3,8.7,6.0,1.8,2019
1400000US17031630400,"Census Tract 6304, Cook County, Illinois",1751,35194.0,45937.0,12.7,8.2,9.3,2.2,0.0,2019
1400000US17031630500,"Census Tract 6305, Cook County, Illinois",1575,44885.0,61325.0,25.2,6.2,5.1,4.9,1.5,2019
1400000US17031630800,"Census Tract 6308, Cook County, Illinois",1714,51419.0,58373.0,23.3,13.5,13.0,4.1,0.0,2019
1400000US17031630900,"Census Tract 6309, Cook County, Illinois",1321,45551.0,52501.0,16.1,12.6,13.2,0.0,0.0,2019
1400000US17031640100,"Census Tract 6401, Cook County, Illinois",494,42895.0,77447.0,6.1,6.1,23.1,5.5,2.8,2019
1400000US17031640300,"Census Tract 6403, Cook County, Illinois",2429,64590.0,76454.0,26.1,16.3,15.1,2.9,5.0,2019
1400000US17031640400,"Census Tract 6404, Cook County, Illinois",1173,59398.0,81766.0,22.2,13.7,17.0,6.0,2.0,2019
1400000US17031640500,"Census Tract 6405, Cook County, Illinois",1513,85762.0,92048.0,18.9,26.0,14.5,11.8,3.5,2019
1400000US17031640600,"Census Tract 6406, Cook County, Illinois",1656,49375.0,58892.0,22.6,9.0,13.0,3.5,0.5,2019
1400000US17031640700,"Census Tract 6407, Cook County, Illinois",1016,56250.0,62605.0,28.1,8.4,19.6,1.5,0.9,2019
1400000US17031640800,"Census Tract 6408, Cook County, Illinois",556,51944.0,70536.0,14.0,11.2,15.3,9.5,1.3,2019
1400000US17031650100,"Census Tract 6501, Cook County, Illinois",1256,43750.0,56025.0,20.1,15.0,9.5,1.4,0.9,2019
1400000US17031650200,"Census Tract 6502, Cook County, Illinois",2114,51658.0,76614.0,12.3,8.4,23.0,4.4,4.8,2019
1400000US17031650301,"Census Tract 6503.01, Cook County, Illinois",1524,60802.0,80055.0,21.9,11.6,14.7,5.6,5.2,2019
1400000US17031650302,"Census Tract 6503.02, Cook County, Illinois",1106,49130.0,71564.0,19.1,8.9,12.7,3.3,4.0,2019
1400000US17031650400,"Census Tract 6504, Cook County, Illinois",1758,54327.0,61732.0,24.6,12.8,12.5,2.4,2.0,2019
1400000US17031650500,"Census Tract 6505, Cook County, Illinois",1514,68382.0,77942.0,24.8,17.1,15.2,6.9,0.9,2019
1400000US17031660301,"Census Tract 6603.01, Cook County, Illinois",533,24230.0,33334.0,6.9,9.4,1.9,0.0,0.4,2019
1400000US17031660302,"Census Tract 6603.02, Cook County, Illinois",1489,30891.0,40956.0,19.9,6.4,5.5,0.0,0.0,2019
1400000US17031660400,"Census Tract 6604, Cook County, Illinois",1481,46289.0,69034.0,19.4,5.5,13.0,7.2,2.5,2019
1400000US17031660500,"Census Tract 6605, Cook County, Illinois",1315,36657.0,49213.0,8.7,10.0,10.4,0.0,1.0,2019
1400000US17031660600,"Census Tract 6606, Cook County, Illinois",2080,27012.0,42298.0,8.3,4.3,3.8,3.5,0.5,2019
1400000US17031660700,"Census Tract 6607, Cook County, Illinois",610,23095.0,32834.0,9.2,3.0,3.0,1.0,0.0,2019
1400000US17031660800,"Census Tract 6608, Cook County, Illinois",1650,35703.0,43931.0,20.0,6.2,6.0,0.8,0.7,2019
1400000US17031660900,"Census Tract 6609, Cook County, Illinois",1385,34574.0,46430.0,16.1,4.5,6.1,3.0,0.9,2019
1400000US17031661000,"Census Tract 6610, Cook County, Illinois",1901,34230.0,43584.0,16.9,8.0,6.0,0.5,1.0,2019
1400000US17031661100,"Census Tract 6611, Cook County, Illinois",1934,59038.0,67160.0,18.6,10.7,18.6,4.2,2.1,2019
1400000US17031670100,"Census Tract 6701, Cook County, Illinois",398,27500.0,38047.0,14.6,5.3,1.3,4.5,0.0,2019
1400000US17031670200,"Census Tract 6702, Cook County, Illinois",409,28250.0,57521.0,7.8,1.7,0.0,2.7,2.4,2019
