geo_id,tract_name,population,median_age,under_18_pct,age_65_plus_pct,white_pct,black_pct,asian_pct,hispanic_pct,year
1400000US17031291200,"Census Tract 2912, Cook County, Illinois",2124,25.8,682,160,44,2024,0,2124,2019
1400000US17031291600,"Census Tract 2916, Cook County, Illinois",945,30.7,261,80,193,88,0,945,2019
1400000US17031292200,"Census Tract 2922, Cook County, Illinois",2506,32.2,656,243,82,2151,12,2506,2019
1400000US17031292400,"Census Tract 2924, Cook County, Illinois",2000,34.9,427,228,48,1916,1,2000,2019
1400000US17031292500,"Census Tract 2925, Cook County, Illinois",3595,34.1,786,445,84,2969,0,3595,2019
1400000US17031300500,"Census Tract 3005, Cook County, Illinois",2916,34.1,776,356,43,168,0,2916,2019
1400000US17031300600,"Census Tract 3006, Cook County, Illinois",3035,31.3,838,282,285,401,0,3035,2019
1400000US17031300700,"Census Tract 3007, Cook County, Illinois",4841,31.4,1481,391,83,65,39,4841,2019
1400000US17031300800,"Census Tract 3008, Cook County, Illinois",3960,28.7,1293,381,51,0,0,3960,2019
1400000US17031300900,"Census Tract 3009, Cook County, Illinois",4223,33.4,1153,409,232,2,0,4223,2019
1400000US17031301100,"Census Tract 3011, Cook County, Illinois",2217,31.9,619,226,116,199,0,2217,2019
1400000US17031301200,"Census Tract 3012, Cook County, Illinois",4417,26.6,1540,342,165,347,0,4417,2019
1400000US17031301600,"Census Tract 3016, Cook County, Illinois",4242,32.3,1352,577,87,113,0,4242,2019
1400000US17031301701,"Census Tract 3017.01, Cook County, Illinois",3785,32.9,1096,449,41,1,0,3785,2019
1400000US17031301702,"Census Tract 3017.02, Cook County, Illinois",4645,27.3,1622,291,95,0,0,4645,2019
1400000US17031301801,"Census Tract 3018.01, Cook County, Illinois",3568,34.0,1008,579,175,2,0,3568,2019
1400000US17031301802,"Census Tract 3018.02, Cook County, Illinois",3421,30.2,1056,312,68,33,0,3421,2019
1400000US17031301803,"Census Tract 3018.03, Cook County, Illinois",4423,30.7,1219,503,156,0,0,4423,2019
1400000US17031310200,"Census Tract 3102, Cook County, Illinois",1765,35.0,283,165,481,123,178,1765,2019
1400000US17031310300,"Census Tract 3103, Cook County, Illinois",1873,39.2,296,321,546,67,113,1873,2019
1400000US17031310400,"Census Tract 3104, Cook County, Illinois",1286,30.2,292,81,445,79,133,1286,2019
1400000US17031310500,"Census Tract 3105, Cook County, Illinois",1491,30.1,353,92,330,0,7,1491,2019
1400000US17031310600,"Census Tract 3106, Cook County, Illinois",4555,33.2,510,424,1262,201,276,4555,2019
1400000US17031310700,"Census Tract 3107, Cook County, Illinois",1514,35.6,148,223,352,37,112,1514,2019
1400000US17031310800,"Census Tract 3108, Cook County, Illinois",4421,30.7,945,457,644,43,202,4421,2019
1400000US17031310900,"Census Tract 3109, Cook County, Illinois",5215,31.3,1291,600,632,91,61,5215,2019
1400000US17031320100,"Census Tract 3201, Cook County, Illinois",13568,36.4,858,2089,9199,295,2584,13568,2019
1400000US17031320400,"Census Tract 3204, Cook County, Illinois",3150,21.2,60,192,1916,290,518,3150,2019
1400000US17031320600,"Census Tract 3206, Cook County, Illinois",5183,33.6,457,499,2816,567,1162,5183,2019
1400000US17031330100,"Census Tract 3301, Cook County, Illinois",20087,37.0,2111,1844,11188,4402,2529,20087,2019
1400000US17031330200,"Census Tract 3302, Cook County, Illinois",3599,45.1,735,676,1638,1086,725,3599,2019
1400000US17031340300,"Census Tract 3403, Cook County, Illinois",1875,48.8,340,622,210,7,1528,1875,2019
1400000US17031340400,"Census Tract 3404, Cook County, Illinois",1949,38.4,345,282,240,72,1573,1949,2019
1400000US17031340500,"Census Tract 3405, Cook County, Illinois",1591,50.5,139,643,660,55,619,1591,2019
1400000US17031340600,"Census Tract 3406, Cook County, Illinois",981,26.9,337,161,10,957,0,981,2019
1400000US17031350100,"Census Tract 3501, Cook County, Illinois",2432,29.8,132,231,170,894,1112,2432,2019
1400000US17031350400,"Census Tract 3504, Cook County, Illinois",1979,23.0,833,54,9,1970,0,1979,2019
1400000US17031351000,"Census Tract 3510, Cook County, Illinois",3269,36.2,83,559,230,2223,628,3269,2019
1400000US17031351100,"Census Tract 3511, Cook County, Illinois",2418,19.8,1151,128,44,2321,0,2418,2019
1400000US17031351400,"Census Tract 3514, Cook County, Illinois",1841,28.1,615,157,64,1613,47,1841,2019
1400000US17031351500,"Census Tract 3515, Cook County, Illinois",731,27.0,99,29,142,388,145,731,2019
1400000US17031360200,"Census Tract 3602, Cook County, Illinois",1477,33.4,493,155,11,1336,52,1477,2019
1400000US17031380100,"Census Tract 3801, Cook County, Illinois",1894,51.5,346,276,115,1688,0,1894,2019
1400000US17031380200,"Census Tract 3802, Cook County, Illinois",1556,66.7,68,800,29,1458,9,1556,2019
1400000US17031380500,"Census Tract 3805, Cook County, Illinois",856,24.9,330,85,0,856,0,856,2019
1400000US17031380700,"Census Tract 3807, Cook County, Illinois",1330,47.1,205,297,76,1218,0,1330,2019
1400000US17031381200,"Census Tract 3812, Cook County, Illinois",1852,36.6,482,277,42,1687,0,1852,2019
1400000US17031381400,"Census Tract 3814, Cook County, Illinois",1415,39.1,425,158,5,1345,65,1415,2019
